condition,invest,payout,payout_r,payout_p,id,excluded,block_number,role,subjectTake,response_bool,proposerTake,subject_response,subject_response_bool,prev_subjectTake,prev_response_bool,prev_proposerTake,prev_subject_response,prev_subject_response_bool,prev_prev_subjectTake,prev_prev_response_bool,prev_prev_proposerTake,prev_prev_subject_response,prev_prev_subject_response_bool,deception,deception_scale,E_p,E_r,received
generous,,,,,0,0,0,p,,0.0,,,,,,,,,,,,,,0,1,,,
generous,,,,,0,0,0,r,,,6.0,,,,0.0,,,,,,,,,0,1,,,4.0
generous,,,,,0,0,0,p,,0.0,,,,,,6.0,,,,0.0,,,,0,1,,6.0,
generous,,4.0,4.0,,0,0,0,r,,,6.0,1.0,1.0,,0.0,,,,,,6.0,,,0,1,,6.0,4.0
generous,,6.0,,6.0,0,0,0,p,6.0,1.0,,,,,,6.0,1.0,1.0,,0.0,,,,0,1,,6.0,
generous,,6.0,,6.0,0,0,0,p,6.0,1.0,,,,6.0,1.0,,,,,,6.0,1.0,1.0,0,1,6.0,6.0,
generous,,5.0,5.0,,0,0,0,r,,,5.0,2.0,1.0,6.0,1.0,,,,6.0,1.0,,,,0,1,6.0,6.0,5.0
generous,,6.0,,6.0,0,0,0,p,6.0,1.0,,,,,,5.0,2.0,1.0,6.0,1.0,,,,0,1,6.0,5.666666666666667,
generous,,5.0,5.0,,0,0,0,r,,,5.0,2.0,1.0,6.0,1.0,,,,,,5.0,2.0,1.0,0,1,6.0,5.666666666666667,5.0
generous,,6.0,,6.0,0,0,0,p,6.0,1.0,,,,,,5.0,2.0,1.0,6.0,1.0,,,,0,1,6.0,5.5,
generous,,5.0,5.0,,0,0,0,r,,,5.0,2.0,1.0,6.0,1.0,,,,,,5.0,2.0,1.0,0,1,6.0,5.5,5.0
generous,,7.0,,7.0,0,0,0,p,7.0,1.0,,,,,,5.0,2.0,1.0,6.0,1.0,,,,0,1,6.0,5.4,
generous,,5.0,5.0,,0,0,0,r,,,5.0,2.0,1.0,7.0,1.0,,,,,,5.0,2.0,1.0,0,1,6.2,5.4,5.0
generous,,,,,0,0,0,p,,,,,,,,5.0,2.0,1.0,7.0,1.0,,,,0,1,6.2,5.333333333333333,
control,,0.0,,0.0,0,0,1,p,9.0,0.0,,,,,,,,,,,,,,0,1,,,
control,,5.0,5.0,,0,0,1,r,,,5.0,2.0,1.0,9.0,0.0,,,,,,,,,0,1,9.0,,5.0
control,,0.0,,0.0,0,0,1,p,6.0,0.0,,,,,,5.0,2.0,1.0,9.0,0.0,,,,0,1,9.0,5.0,
control,,4.0,4.0,,0,0,1,r,,,6.0,1.0,1.0,6.0,0.0,,,,,,5.0,2.0,1.0,0,1,7.5,5.0,4.0
control,,6.0,,6.0,0,0,1,p,6.0,1.0,,,,,,6.0,1.0,1.0,6.0,0.0,,,,0,1,7.5,5.5,
control,,4.0,4.0,,0,0,1,r,,,6.0,1.0,1.0,6.0,1.0,,,,,,6.0,1.0,1.0,0,1,7.0,5.5,4.0
control,,6.0,,6.0,0,0,1,p,6.0,1.0,,,,,,6.0,1.0,1.0,6.0,1.0,,,,0,1,7.0,5.666666666666667,
control,,4.0,4.0,,0,0,1,r,,,6.0,1.0,1.0,6.0,1.0,,,,,,6.0,1.0,1.0,0,1,6.75,5.666666666666667,4.0
control,,0.0,,0.0,0,0,1,p,7.0,0.0,,,,,,6.0,1.0,1.0,6.0,1.0,,,,0,1,6.75,5.75,
control,,0.0,0.0,,0,0,1,r,,,7.0,-2.0,0.0,7.0,0.0,,,,,,6.0,1.0,1.0,0,1,6.8,5.75,3.0
control,,0.0,,0.0,0,0,1,p,6.0,0.0,,,,,,7.0,-2.0,0.0,7.0,0.0,,,,0,1,6.8,6.0,
control,,0.0,0.0,,0,0,1,r,,,7.0,-2.0,0.0,6.0,0.0,,,,,,7.0,-2.0,0.0,0,1,6.666666666666667,6.0,3.0
control,,6.0,,6.0,0,0,1,p,6.0,1.0,,,,,,7.0,-2.0,0.0,6.0,0.0,,,,0,1,6.666666666666667,6.166666666666667,
control,10.0,,,,0,0,1,p,,,,,,6.0,1.0,,,,,,7.0,-2.0,0.0,0,1,6.571428571428571,6.166666666666667,
reciprocity,,6.0,,6.0,0,0,2,p,6.0,1.0,,,,,,,,,,,,,,0,1,,,
reciprocity,,4.0,4.0,,0,0,2,r,,,6.0,1.0,1.0,6.0,1.0,,,,,,,,,0,1,6.0,,4.0
reciprocity,,7.0,,7.0,0,0,2,p,7.0,1.0,,,,,,6.0,1.0,1.0,6.0,1.0,,,,0,1,6.0,6.0,
reciprocity,,3.0,3.0,,0,0,2,r,,,7.0,1.0,1.0,7.0,1.0,,,,,,6.0,1.0,1.0,0,1,6.5,6.0,3.0
reciprocity,,8.0,,8.0,0,0,2,p,8.0,1.0,,,,,,7.0,1.0,1.0,7.0,1.0,,,,0,1,6.5,6.5,
reciprocity,,2.0,2.0,,0,0,2,r,,,8.0,2.0,1.0,8.0,1.0,,,,,,7.0,1.0,1.0,0,1,7.0,6.5,2.0
reciprocity,,8.0,,8.0,0,0,2,p,8.0,1.0,,,,,,8.0,2.0,1.0,8.0,1.0,,,,0,1,7.0,7.0,
reciprocity,,2.0,2.0,,0,0,2,r,,,8.0,2.0,1.0,8.0,1.0,,,,,,8.0,2.0,1.0,0,1,7.25,7.0,2.0
reciprocity,,6.0,,6.0,0,0,2,p,6.0,1.0,,,,,,8.0,2.0,1.0,8.0,1.0,,,,0,1,7.25,7.25,
reciprocity,,4.0,4.0,,0,0,2,r,,,6.0,2.0,1.0,6.0,1.0,,,,,,8.0,2.0,1.0,0,1,7.0,7.25,4.0
reciprocity,,7.0,,7.0,0,0,2,p,7.0,1.0,,,,,,6.0,2.0,1.0,6.0,1.0,,,,0,1,7.0,7.0,
reciprocity,,3.0,3.0,,0,0,2,r,,,7.0,2.0,1.0,7.0,1.0,,,,,,6.0,2.0,1.0,0,1,7.0,7.0,3.0
reciprocity,,8.0,,8.0,0,0,2,p,8.0,1.0,,,,,,7.0,2.0,1.0,7.0,1.0,,,,0,1,7.0,7.0,
reciprocity,,,,,0,0,2,p,,,,,,8.0,1.0,,,,,,7.0,2.0,1.0,0,1,7.142857142857143,7.0,
anti_reciprocity,,0.0,,0.0,0,0,3,p,7.0,0.0,,,,,,,,,,,,,,0,1,,,
anti_reciprocity,,0.0,0.0,,0,0,3,r,,,8.0,-2.0,0.0,7.0,0.0,,,,,,,,,0,1,7.0,,2.0
anti_reciprocity,,5.0,,5.0,0,0,3,p,5.0,1.0,,,,,,8.0,-2.0,0.0,7.0,0.0,,,,0,1,7.0,8.0,
anti_reciprocity,,0.0,0.0,,0,0,3,r,,,9.0,-2.0,0.0,5.0,1.0,,,,,,8.0,-2.0,0.0,0,1,6.0,8.0,1.0
anti_reciprocity,,,,,0,0,3,p,,0.0,,,,,,9.0,-2.0,0.0,5.0,1.0,,,,0,1,6.0,8.5,
anti_reciprocity,,5.0,5.0,,0,0,3,r,,,5.0,1.0,1.0,,0.0,,,,,,9.0,-2.0,0.0,0,1,6.0,8.5,5.0
anti_reciprocity,,6.0,,6.0,0,0,3,p,6.0,1.0,,,,,,5.0,1.0,1.0,,0.0,,,,0,1,6.0,7.333333333333333,
anti_reciprocity,,0.0,0.0,,0,0,3,r,,,8.0,-2.0,0.0,6.0,1.0,,,,,,5.0,1.0,1.0,0,1,6.0,7.333333333333333,2.0
anti_reciprocity,,0.0,,0.0,0,0,3,p,6.0,0.0,,,,,,8.0,-2.0,0.0,6.0,1.0,,,,0,1,6.0,7.5,
anti_reciprocity,,0.0,0.0,,0,0,3,r,,,8.0,-2.0,0.0,6.0,0.0,,,,,,8.0,-2.0,0.0,0,1,6.0,7.5,2.0
anti_reciprocity,,6.0,,6.0,0,0,3,p,6.0,1.0,,,,,,8.0,-2.0,0.0,6.0,0.0,,,,0,1,6.0,7.6,
anti_reciprocity,,0.0,0.0,,0,0,3,r,,,8.0,-2.0,0.0,6.0,1.0,,,,,,8.0,-2.0,0.0,0,1,6.0,7.6,2.0
anti_reciprocity,,6.0,,6.0,0,0,3,p,6.0,1.0,,,,,,8.0,-2.0,0.0,6.0,1.0,,,,0,1,6.0,7.666666666666667,
anti_reciprocity,10.0,,,,0,0,3,p,,,,,,6.0,1.0,,,,,,8.0,-2.0,0.0,0,1,6.0,7.666666666666667,
selfish,,6.0,,6.0,0,0,4,p,6.0,1.0,,,,,,,,,,,,,,0,1,,,
selfish,,5.0,5.0,,0,0,4,r,,,5.0,1.0,1.0,6.0,1.0,,,,,,,,,0,1,6.0,,5.0
selfish,,0.0,,0.0,0,0,4,p,6.0,0.0,,,,,,5.0,1.0,1.0,6.0,1.0,,,,0,1,6.0,5.0,
selfish,,0.0,0.0,,0,0,4,r,,,9.0,-2.0,0.0,6.0,0.0,,,,,,5.0,1.0,1.0,0,1,6.0,5.0,1.0
selfish,,0.0,,0.0,0,0,4,p,6.0,0.0,,,,,,9.0,-2.0,0.0,6.0,0.0,,,,0,1,6.0,7.0,
selfish,,0.0,0.0,,0,0,4,r,,,7.0,-2.0,0.0,6.0,0.0,,,,,,9.0,-2.0,0.0,0,1,6.0,7.0,3.0
selfish,,6.0,,6.0,0,0,4,p,6.0,1.0,,,,,,7.0,-2.0,0.0,6.0,0.0,,,,0,1,6.0,7.0,
selfish,,0.0,0.0,,0,0,4,r,,,8.0,-2.0,0.0,6.0,1.0,,,,,,7.0,-2.0,0.0,0,1,6.0,7.0,2.0
selfish,,6.0,,6.0,0,0,4,p,6.0,1.0,,,,,,8.0,-2.0,0.0,6.0,1.0,,,,0,1,6.0,7.25,
selfish,,0.0,0.0,,0,0,4,r,,,8.0,-2.0,0.0,6.0,1.0,,,,,,8.0,-2.0,0.0,0,1,6.0,7.25,2.0
selfish,,0.0,,0.0,0,0,4,p,6.0,0.0,,,,,,8.0,-2.0,0.0,6.0,1.0,,,,0,1,6.0,7.4,
selfish,,0.0,0.0,,0,0,4,r,,,8.0,-2.0,0.0,6.0,0.0,,,,,,8.0,-2.0,0.0,0,1,6.0,7.4,2.0
selfish,,6.0,,6.0,0,0,4,p,6.0,1.0,,,,,,8.0,-2.0,0.0,6.0,0.0,,,,0,1,6.0,7.5,
selfish,,,,,0,0,4,p,,,,,,6.0,1.0,,,,,,8.0,-2.0,0.0,0,1,6.0,7.5,
anti_reciprocity,,6.0,,6.0,0,0,5,p,6.0,1.0,,,,,,,,,,,,,,0,1,,,
anti_reciprocity,,0.0,0.0,,0,0,5,r,,,8.0,-2.0,0.0,6.0,1.0,,,,,,,,,0,1,6.0,,2.0
anti_reciprocity,,6.0,,6.0,0,0,5,p,6.0,1.0,,,,,,8.0,-2.0,0.0,6.0,1.0,,,,0,1,6.0,8.0,
anti_reciprocity,,2.0,2.0,,0,0,5,r,,,8.0,1.0,1.0,6.0,1.0,,,,,,8.0,-2.0,0.0,0,1,6.0,8.0,2.0
anti_reciprocity,,,,,0,0,5,p,,0.0,,,,,,8.0,1.0,1.0,6.0,1.0,,,,0,1,6.0,8.0,
anti_reciprocity,,3.0,3.0,,0,0,5,r,,,7.0,1.0,1.0,,0.0,,,,,,8.0,1.0,1.0,0,1,6.0,8.0,3.0
anti_reciprocity,,9.0,,9.0,0,0,5,p,9.0,1.0,,,,,,7.0,1.0,1.0,,0.0,,,,0,1,6.0,7.666666666666667,
anti_reciprocity,,5.0,5.0,,0,0,5,r,,,5.0,2.0,1.0,9.0,1.0,,,,,,7.0,1.0,1.0,0,1,7.0,7.666666666666667,5.0
anti_reciprocity,,9.0,,9.0,0,0,5,p,9.0,1.0,,,,,,5.0,2.0,1.0,9.0,1.0,,,,0,1,7.0,7.0,
anti_reciprocity,,5.0,5.0,,0,0,5,r,,,5.0,2.0,1.0,9.0,1.0,,,,,,5.0,2.0,1.0,0,1,7.5,7.0,5.0
anti_reciprocity,,9.0,,9.0,0,0,5,p,9.0,1.0,,,,,,5.0,2.0,1.0,9.0,1.0,,,,0,1,7.5,6.6,
anti_reciprocity,,5.0,5.0,,0,0,5,r,,,5.0,2.0,1.0,9.0,1.0,,,,,,5.0,2.0,1.0,0,1,7.8,6.6,5.0
anti_reciprocity,,9.0,,9.0,0,0,5,p,9.0,1.0,,,,,,5.0,2.0,1.0,9.0,1.0,,,,0,1,7.8,6.333333333333333,
anti_reciprocity,10.0,,,,0,0,5,p,,,,,,9.0,1.0,,,,,,5.0,2.0,1.0,0,1,8.0,6.333333333333333,
generous,,,,,0,0,6,p,,0.0,,,,,,,,,,,,,,0,1,,,
generous,,5.0,5.0,,0,0,6,r,,,5.0,2.0,1.0,,0.0,,,,,,,,,0,1,,,5.0
generous,,9.0,,9.0,0,0,6,p,9.0,1.0,,,,,,5.0,2.0,1.0,,0.0,,,,0,1,,5.0,
generous,,5.0,5.0,,0,0,6,r,,,5.0,2.0,1.0,9.0,1.0,,,,,,5.0,2.0,1.0,0,1,9.0,5.0,5.0
generous,,9.0,,9.0,0,0,6,p,9.0,1.0,,,,,,5.0,2.0,1.0,9.0,1.0,,,,0,1,9.0,5.0,
generous,,4.0,4.0,,0,0,6,r,,,6.0,2.0,1.0,9.0,1.0,,,,,,5.0,2.0,1.0,0,1,9.0,5.0,4.0
generous,,8.0,,8.0,0,0,6,p,8.0,1.0,,,,,,6.0,2.0,1.0,9.0,1.0,,,,0,1,9.0,5.333333333333333,
generous,,5.0,5.0,,0,0,6,r,,,5.0,2.0,1.0,8.0,1.0,,,,,,6.0,2.0,1.0,0,1,8.666666666666666,5.333333333333333,5.0
generous,,8.0,,8.0,0,0,6,p,8.0,1.0,,,,,,5.0,2.0,1.0,8.0,1.0,,,,0,1,8.666666666666666,5.25,
generous,,4.0,4.0,,0,0,6,r,,,6.0,2.0,1.0,8.0,1.0,,,,,,5.0,2.0,1.0,0,1,8.5,5.25,4.0
generous,,8.0,,8.0,0,0,6,p,8.0,1.0,,,,,,6.0,2.0,1.0,8.0,1.0,,,,0,1,8.5,5.4,
generous,,5.0,5.0,,0,0,6,r,,,5.0,2.0,1.0,8.0,1.0,,,,,,6.0,2.0,1.0,0,1,8.4,5.4,5.0
generous,,9.0,,9.0,0,0,6,p,9.0,1.0,,,,,,5.0,2.0,1.0,8.0,1.0,,,,0,1,8.4,5.333333333333333,
generous,,,,,0,0,6,p,,,,,,9.0,1.0,,,,,,5.0,2.0,1.0,0,1,8.5,5.333333333333333,
reciprocity,,0.0,,0.0,0,0,7,p,8.0,0.0,,,,,,,,,,,,,,0,1,,,
reciprocity,,2.0,2.0,,0,0,7,r,,,8.0,1.0,1.0,8.0,0.0,,,,,,,,,0,1,8.0,,2.0
reciprocity,,8.0,,8.0,0,0,7,p,8.0,1.0,,,,,,8.0,1.0,1.0,8.0,0.0,,,,0,1,8.0,8.0,
reciprocity,,2.0,2.0,,0,0,7,r,,,8.0,1.0,1.0,8.0,1.0,,,,,,8.0,1.0,1.0,0,1,8.0,8.0,2.0
reciprocity,,8.0,,8.0,0,0,7,p,8.0,1.0,,,,,,8.0,1.0,1.0,8.0,1.0,,,,0,1,8.0,8.0,
reciprocity,,2.0,2.0,,0,0,7,r,,,8.0,1.0,1.0,8.0,1.0,,,,,,8.0,1.0,1.0,0,1,8.0,8.0,2.0
reciprocity,,8.0,,8.0,0,0,7,p,8.0,1.0,,,,,,8.0,1.0,1.0,8.0,1.0,,,,0,1,8.0,8.0,
reciprocity,,2.0,2.0,,0,0,7,r,,,8.0,1.0,1.0,8.0,1.0,,,,,,8.0,1.0,1.0,0,1,8.0,8.0,2.0
reciprocity,,8.0,,8.0,0,0,7,p,8.0,1.0,,,,,,8.0,1.0,1.0,8.0,1.0,,,,0,1,8.0,8.0,
reciprocity,,2.0,2.0,,0,0,7,r,,,8.0,1.0,1.0,8.0,1.0,,,,,,8.0,1.0,1.0,0,1,8.0,8.0,2.0
reciprocity,,0.0,,0.0,0,0,7,p,9.0,0.0,,,,,,8.0,1.0,1.0,8.0,1.0,,,,0,1,8.0,8.0,
reciprocity,,1.0,1.0,,0,0,7,r,,,9.0,1.0,1.0,9.0,0.0,,,,,,8.0,1.0,1.0,0,1,8.166666666666666,8.0,1.0
reciprocity,,9.0,,9.0,0,0,7,p,9.0,1.0,,,,,,9.0,1.0,1.0,9.0,0.0,,,,0,1,8.166666666666666,8.166666666666666,
reciprocity,10.0,,,,0,0,7,p,,,,,,9.0,1.0,,,,,,9.0,1.0,1.0,0,1,8.285714285714286,8.166666666666666,
control,,0.0,,0.0,0,0,8,p,8.0,0.0,,,,,,,,,,,,,,0,1,,,
control,,4.0,4.0,,0,0,8,r,,,6.0,1.0,1.0,8.0,0.0,,,,,,,,,0,1,8.0,,4.0
control,,0.0,,0.0,0,0,8,p,8.0,0.0,,,,,,6.0,1.0,1.0,8.0,0.0,,,,0,1,8.0,6.0,
control,,3.0,3.0,,0,0,8,r,,,7.0,1.0,1.0,8.0,0.0,,,,,,6.0,1.0,1.0,0,1,8.0,6.0,3.0
control,,0.0,,0.0,0,0,8,p,6.0,0.0,,,,,,7.0,1.0,1.0,8.0,0.0,,,,0,1,8.0,6.5,
control,,4.0,4.0,,0,0,8,r,,,6.0,1.0,1.0,6.0,0.0,,,,,,7.0,1.0,1.0,0,1,7.333333333333333,6.5,4.0
control,,6.0,,6.0,0,0,8,p,6.0,1.0,,,,,,6.0,1.0,1.0,6.0,0.0,,,,0,1,7.333333333333333,6.333333333333333,
control,,5.0,5.0,,0,0,8,r,,,5.0,1.0,1.0,6.0,1.0,,,,,,6.0,1.0,1.0,0,1,7.0,6.333333333333333,5.0
control,,0.0,,0.0,0,0,8,p,8.0,0.0,,,,,,5.0,1.0,1.0,6.0,1.0,,,,0,1,7.0,6.0,
control,,4.0,4.0,,0,0,8,r,,,6.0,1.0,1.0,8.0,0.0,,,,,,5.0,1.0,1.0,0,1,7.2,6.0,4.0
control,,6.0,,6.0,0,0,8,p,6.0,1.0,,,,,,6.0,1.0,1.0,8.0,0.0,,,,0,1,7.2,6.0,
control,,4.0,4.0,,0,0,8,r,,,6.0,1.0,1.0,6.0,1.0,,,,,,6.0,1.0,1.0,0,1,7.0,6.0,4.0
control,,6.0,,6.0,0,0,8,p,6.0,1.0,,,,,,6.0,1.0,1.0,6.0,1.0,,,,0,1,7.0,6.0,
control,10.0,,,,0,0,8,p,,,,,,6.0,1.0,,,,,,6.0,1.0,1.0,0,1,6.857142857142857,6.0,
selfish,,,,,0,0,9,p,,0.0,,,,,,,,,,,,,,0,1,,,
selfish,,2.0,2.0,,0,0,9,r,,,8.0,1.0,1.0,,0.0,,,,,,,,,0,1,,,2.0
selfish,,0.0,,0.0,0,0,9,p,8.0,0.0,,,,,,8.0,1.0,1.0,,0.0,,,,0,1,,8.0,
selfish,,4.0,4.0,,0,0,9,r,,,6.0,1.0,1.0,8.0,0.0,,,,,,8.0,1.0,1.0,0,1,8.0,8.0,4.0
selfish,,0.0,,0.0,0,0,9,p,8.0,0.0,,,,,,6.0,1.0,1.0,8.0,0.0,,,,0,1,8.0,7.0,
selfish,,2.0,2.0,,0,0,9,r,,,8.0,1.0,1.0,8.0,0.0,,,,,,6.0,1.0,1.0,0,1,8.0,7.0,2.0
selfish,,9.0,,9.0,0,0,9,p,9.0,1.0,,,,,,8.0,1.0,1.0,8.0,0.0,,,,0,1,8.0,7.333333333333333,
selfish,,,,,0,0,9,r,,,9.0,,,9.0,1.0,,,,,,8.0,1.0,1.0,0,1,8.333333333333334,7.333333333333333,1.0
selfish,,5.0,,5.0,0,0,9,p,5.0,1.0,,,,,,9.0,,,9.0,1.0,,,,0,1,8.333333333333334,7.75,
selfish,,5.0,5.0,,0,0,9,r,,,5.0,2.0,1.0,5.0,1.0,,,,,,9.0,,,0,1,7.5,7.75,5.0
selfish,,0.0,,0.0,0,0,9,p,8.0,0.0,,,,,,5.0,2.0,1.0,5.0,1.0,,,,0,1,7.5,7.2,
selfish,,0.0,0.0,,0,0,9,r,,,9.0,-1.0,0.0,8.0,0.0,,,,,,5.0,2.0,1.0,0,1,7.6,7.2,1.0
selfish,,,,,0,0,9,p,,0.0,,,,,,9.0,-1.0,0.0,8.0,0.0,,,,0,1,7.6,7.5,
selfish,0.0,,,,0,0,9,p,,,,,,,0.0,,,,,,9.0,-1.0,0.0,0,1,7.6,7.5,
control,,5.0,5.0,,1,0,0,r,,,5.0,1.0,1.0,,,,,,,,,,,1,4,,,5.0
control,,,,,1,0,0,p,,0.0,,,,,,5.0,1.0,1.0,,,,,,1,4,,5.0,
control,,,,,1,0,0,r,,,6.0,0.0,,,0.0,,,,,,5.0,1.0,1.0,1,4,,5.0,4.0
control,,6.0,,6.0,1,0,0,p,6.0,1.0,,,,,,6.0,0.0,,,0.0,,,,1,4,,5.5,
control,,4.0,4.0,,1,0,0,r,,,6.0,1.0,1.0,6.0,1.0,,,,,,6.0,0.0,,1,4,6.0,5.5,4.0
control,,5.0,5.0,,1,0,0,r,,,5.0,2.0,1.0,,,6.0,1.0,1.0,6.0,1.0,,,,1,4,6.0,5.666666666666667,5.0
control,,5.0,,5.0,1,0,0,p,5.0,1.0,,,,,,5.0,2.0,1.0,,,6.0,1.0,1.0,1,4,6.0,5.5,
control,,0.0,0.0,,1,0,0,r,,,5.0,-2.0,0.0,5.0,1.0,,,,,,5.0,2.0,1.0,1,4,5.5,5.5,5.0
control,,0.0,,0.0,1,0,0,p,7.0,0.0,,,,,,5.0,-2.0,0.0,5.0,1.0,,,,1,4,5.5,5.4,
control,,3.0,3.0,,1,0,0,r,,,7.0,1.0,1.0,7.0,0.0,,,,,,5.0,-2.0,0.0,1,4,6.0,5.4,3.0
control,,5.0,,5.0,1,0,0,p,5.0,1.0,,,,,,7.0,1.0,1.0,7.0,0.0,,,,1,4,6.0,5.666666666666667,
control,,3.0,3.0,,1,0,0,r,,,7.0,1.0,1.0,5.0,1.0,,,,,,7.0,1.0,1.0,1,4,5.75,5.666666666666667,3.0
control,,6.0,,6.0,1,0,0,p,6.0,1.0,,,,,,7.0,1.0,1.0,5.0,1.0,,,,1,4,5.75,5.857142857142857,
control,,4.0,4.0,,1,0,0,r,,,6.0,1.0,1.0,6.0,1.0,,,,,,7.0,1.0,1.0,1,4,5.8,5.857142857142857,4.0
control,,7.0,,7.0,1,0,0,p,7.0,1.0,,,,,,6.0,1.0,1.0,6.0,1.0,,,,1,4,5.8,5.875,
control,,5.0,5.0,,1,0,0,r,,,5.0,1.0,1.0,7.0,1.0,,,,,,6.0,1.0,1.0,1,4,6.0,5.875,5.0
control,,0.0,,0.0,1,0,0,p,8.0,0.0,,,,,,5.0,1.0,1.0,7.0,1.0,,,,1,4,6.0,5.777777777777778,
control,,0.0,0.0,,1,0,0,r,,,7.0,-1.0,0.0,8.0,0.0,,,,,,5.0,1.0,1.0,1,4,6.285714285714286,5.777777777777778,3.0
control,,0.0,,0.0,1,0,0,p,6.0,0.0,,,,,,7.0,-1.0,0.0,8.0,0.0,,,,1,4,6.285714285714286,5.9,
control,,5.0,,5.0,1,0,0,p,5.0,1.0,,,,6.0,0.0,,,,,,7.0,-1.0,0.0,1,4,6.25,5.9,
control,,2.0,2.0,,1,0,0,r,,,8.0,1.0,1.0,5.0,1.0,,,,6.0,0.0,,,,1,4,6.111111111111111,5.9,2.0
control,,6.0,,6.0,1,0,0,p,6.0,1.0,,,,,,8.0,1.0,1.0,5.0,1.0,,,,1,4,6.111111111111111,6.090909090909091,
control,,,,,1,0,0,r,,,7.0,0.0,,6.0,1.0,,,,,,8.0,1.0,1.0,1,4,6.1,6.090909090909091,3.0
control,,6.0,,6.0,1,0,0,p,6.0,1.0,,,,,,7.0,0.0,,6.0,1.0,,,,1,4,6.1,6.166666666666667,
control,,4.0,4.0,,1,0,0,r,,,6.0,1.0,1.0,6.0,1.0,,,,,,7.0,0.0,,1,4,6.090909090909091,6.166666666666667,4.0
control,,0.0,,0.0,1,0,0,p,7.0,0.0,,,,,,6.0,1.0,1.0,6.0,1.0,,,,1,4,6.090909090909091,6.153846153846154,
control,,0.0,0.0,,1,0,0,r,,,7.0,-1.0,0.0,7.0,0.0,,,,,,6.0,1.0,1.0,1,4,6.166666666666667,6.153846153846154,3.0
control,,6.0,,6.0,1,0,0,p,6.0,1.0,,,,,,7.0,-1.0,0.0,7.0,0.0,,,,1,4,6.166666666666667,6.214285714285714,
control,,,,,1,0,0,p,,,,,,6.0,1.0,,,,,,7.0,-1.0,0.0,1,4,6.153846153846154,6.214285714285714,
generous,,5.0,5.0,,1,0,1,r,,,5.0,1.0,1.0,,,,,,,,,,,1,4,,,5.0
generous,,6.0,,6.0,1,0,1,p,6.0,1.0,,,,,,5.0,1.0,1.0,,,,,,1,4,,5.0,
generous,,5.0,5.0,,1,0,1,r,,,5.0,1.0,1.0,6.0,1.0,,,,,,5.0,1.0,1.0,1,4,6.0,5.0,5.0
generous,,6.0,,6.0,1,0,1,p,6.0,1.0,,,,,,5.0,1.0,1.0,6.0,1.0,,,,1,4,6.0,5.0,
generous,,5.0,5.0,,1,0,1,r,,,5.0,1.0,1.0,6.0,1.0,,,,,,5.0,1.0,1.0,1,4,6.0,5.0,5.0
generous,,5.0,5.0,,1,0,1,r,,,5.0,1.0,1.0,,,5.0,1.0,1.0,6.0,1.0,,,,1,4,6.0,5.0,5.0
generous,,7.0,,7.0,1,0,1,p,7.0,1.0,,,,,,5.0,1.0,1.0,,,5.0,1.0,1.0,1,4,6.0,5.0,
generous,,4.0,4.0,,1,0,1,r,,,6.0,1.0,1.0,7.0,1.0,,,,,,5.0,1.0,1.0,1,4,6.333333333333333,5.0,4.0
generous,,,,,1,0,1,p,,0.0,,,,,,6.0,1.0,1.0,7.0,1.0,,,,1,4,6.333333333333333,5.2,
generous,,4.0,4.0,,1,0,1,r,,,6.0,1.0,1.0,,0.0,,,,,,6.0,1.0,1.0,1,4,6.333333333333333,5.2,4.0
generous,,6.0,,6.0,1,0,1,p,6.0,1.0,,,,,,6.0,1.0,1.0,,0.0,,,,1,4,6.333333333333333,5.333333333333333,
generous,,4.0,4.0,,1,0,1,r,,,6.0,1.0,1.0,6.0,1.0,,,,,,6.0,1.0,1.0,1,4,6.25,5.333333333333333,4.0
generous,,8.0,,8.0,1,0,1,p,8.0,1.0,,,,,,6.0,1.0,1.0,6.0,1.0,,,,1,4,6.25,5.428571428571429,
generous,,5.0,5.0,,1,0,1,r,,,5.0,2.0,1.0,8.0,1.0,,,,,,6.0,1.0,1.0,1,4,6.6,5.428571428571429,5.0
generous,,9.0,,9.0,1,0,1,p,9.0,1.0,,,,,,5.0,2.0,1.0,8.0,1.0,,,,1,4,6.6,5.375,
generous,,5.0,5.0,,1,0,1,r,,,5.0,1.0,1.0,9.0,1.0,,,,,,5.0,2.0,1.0,1,4,7.0,5.375,5.0
generous,,6.0,,6.0,1,0,1,p,6.0,1.0,,,,,,5.0,1.0,1.0,9.0,1.0,,,,1,4,7.0,5.333333333333333,
generous,,5.0,5.0,,1,0,1,r,,,5.0,1.0,1.0,6.0,1.0,,,,,,5.0,1.0,1.0,1,4,6.857142857142857,5.333333333333333,5.0
generous,,7.0,,7.0,1,0,1,p,7.0,1.0,,,,,,5.0,1.0,1.0,6.0,1.0,,,,1,4,6.857142857142857,5.3,
generous,,,,,1,0,1,p,,0.0,,,,7.0,1.0,,,,,,5.0,1.0,1.0,1,4,6.875,5.3,
generous,,5.0,5.0,,1,0,1,r,,,5.0,1.0,1.0,,0.0,,,,7.0,1.0,,,,1,4,6.875,5.3,5.0
generous,,,,,1,0,1,p,,0.0,,,,,,5.0,1.0,1.0,,0.0,,,,1,4,6.875,5.2727272727272725,
generous,,5.0,5.0,,1,0,1,r,,,5.0,1.0,1.0,,0.0,,,,,,5.0,1.0,1.0,1,4,6.875,5.2727272727272725,5.0
