condition,invest,payout,payout_r,payout_p,id,excluded,block_number,role,subjectTake,response_bool,proposerTake,subject_response,subject_response_bool,prev_subjectTake,prev_response_bool,prev_proposerTake,prev_subject_response,prev_subject_response_bool,prev_prev_subjectTake,prev_prev_response_bool,prev_prev_proposerTake,prev_prev_subject_response,prev_prev_subject_response_bool,deception,deception_scale
generous,,,,,0,0,0,p,,0,,,,,,,,,,,,,,0,1
generous,,,,,0,0,0,r,,,6,,,,0,,,,,,,,,0,1
generous,,,,,0,0,0,p,,0,,,,,,6,,,,0,,,,0,1
generous,,4,4,,0,0,0,r,,,6,1,1,,0,,,,,,6,,,0,1
generous,,6,,6,0,0,0,p,6,1,,,,,,6,1,1,,0,,,,0,1
generous,,6,,6,0,0,0,p,6,1,,,,6,1,,,,,,6,1,1,0,1
generous,,5,5,,0,0,0,r,,,5,2,1,6,1,,,,6,1,,,,0,1
generous,,6,,6,0,0,0,p,6,1,,,,,,5,2,1,6,1,,,,0,1
generous,,5,5,,0,0,0,r,,,5,2,1,6,1,,,,,,5,2,1,0,1
generous,,6,,6,0,0,0,p,6,1,,,,,,5,2,1,6,1,,,,0,1
generous,,5,5,,0,0,0,r,,,5,2,1,6,1,,,,,,5,2,1,0,1
generous,,7,,7,0,0,0,p,7,1,,,,,,5,2,1,6,1,,,,0,1
generous,,5,5,,0,0,0,r,,,5,2,1,7,1,,,,,,5,2,1,0,1
generous,,,,,0,0,0,p,,,,,,,,5,2,1,7,1,,,,0,1
control,,0,,0,0,0,1,p,9,0,,,,,,,,,,,,,,0,1
control,,5,5,,0,0,1,r,,,5,2,1,9,0,,,,,,,,,0,1
control,,0,,0,0,0,1,p,6,0,,,,,,5,2,1,9,0,,,,0,1
control,,4,4,,0,0,1,r,,,6,1,1,6,0,,,,,,5,2,1,0,1
control,,6,,6,0,0,1,p,6,1,,,,,,6,1,1,6,0,,,,0,1
control,,4,4,,0,0,1,r,,,6,1,1,6,1,,,,,,6,1,1,0,1
control,,6,,6,0,0,1,p,6,1,,,,,,6,1,1,6,1,,,,0,1
control,,4,4,,0,0,1,r,,,6,1,1,6,1,,,,,,6,1,1,0,1
control,,0,,0,0,0,1,p,7,0,,,,,,6,1,1,6,1,,,,0,1
control,,0,0,,0,0,1,r,,,7,-2,0,7,0,,,,,,6,1,1,0,1
control,,0,,0,0,0,1,p,6,0,,,,,,7,-2,0,7,0,,,,0,1
control,,0,0,,0,0,1,r,,,7,-2,0,6,0,,,,,,7,-2,0,0,1
control,,6,,6,0,0,1,p,6,1,,,,,,7,-2,0,6,0,,,,0,1
control,10,,,,0,0,1,p,,,,,,6,1,,,,,,7,-2,0,0,1
reciprocity,,6,,6,0,0,2,p,6,1,,,,,,,,,,,,,,0,1
reciprocity,,4,4,,0,0,2,r,,,6,1,1,6,1,,,,,,,,,0,1
reciprocity,,7,,7,0,0,2,p,7,1,,,,,,6,1,1,6,1,,,,0,1
reciprocity,,3,3,,0,0,2,r,,,7,1,1,7,1,,,,,,6,1,1,0,1
reciprocity,,8,,8,0,0,2,p,8,1,,,,,,7,1,1,7,1,,,,0,1
reciprocity,,2,2,,0,0,2,r,,,8,2,1,8,1,,,,,,7,1,1,0,1
reciprocity,,8,,8,0,0,2,p,8,1,,,,,,8,2,1,8,1,,,,0,1
reciprocity,,2,2,,0,0,2,r,,,8,2,1,8,1,,,,,,8,2,1,0,1
reciprocity,,6,,6,0,0,2,p,6,1,,,,,,8,2,1,8,1,,,,0,1
reciprocity,,4,4,,0,0,2,r,,,6,2,1,6,1,,,,,,8,2,1,0,1
reciprocity,,7,,7,0,0,2,p,7,1,,,,,,6,2,1,6,1,,,,0,1
reciprocity,,3,3,,0,0,2,r,,,7,2,1,7,1,,,,,,6,2,1,0,1
reciprocity,,8,,8,0,0,2,p,8,1,,,,,,7,2,1,7,1,,,,0,1
reciprocity,,,,,0,0,2,p,,,,,,8,1,,,,,,7,2,1,0,1
anti_reciprocity,,0,,0,0,0,3,p,7,0,,,,,,,,,,,,,,0,1
anti_reciprocity,,0,0,,0,0,3,r,,,8,-2,0,7,0,,,,,,,,,0,1
anti_reciprocity,,5,,5,0,0,3,p,5,1,,,,,,8,-2,0,7,0,,,,0,1
anti_reciprocity,,0,0,,0,0,3,r,,,9,-2,0,5,1,,,,,,8,-2,0,0,1
anti_reciprocity,,,,,0,0,3,p,,0,,,,,,9,-2,0,5,1,,,,0,1
anti_reciprocity,,5,5,,0,0,3,r,,,5,1,1,,0,,,,,,9,-2,0,0,1
anti_reciprocity,,6,,6,0,0,3,p,6,1,,,,,,5,1,1,,0,,,,0,1
anti_reciprocity,,0,0,,0,0,3,r,,,8,-2,0,6,1,,,,,,5,1,1,0,1
anti_reciprocity,,0,,0,0,0,3,p,6,0,,,,,,8,-2,0,6,1,,,,0,1
anti_reciprocity,,0,0,,0,0,3,r,,,8,-2,0,6,0,,,,,,8,-2,0,0,1
anti_reciprocity,,6,,6,0,0,3,p,6,1,,,,,,8,-2,0,6,0,,,,0,1
anti_reciprocity,,0,0,,0,0,3,r,,,8,-2,0,6,1,,,,,,8,-2,0,0,1
anti_reciprocity,,6,,6,0,0,3,p,6,1,,,,,,8,-2,0,6,1,,,,0,1
anti_reciprocity,10,,,,0,0,3,p,,,,,,6,1,,,,,,8,-2,0,0,1
selfish,,6,,6,0,0,4,p,6,1,,,,,,,,,,,,,,0,1
selfish,,5,5,,0,0,4,r,,,5,1,1,6,1,,,,,,,,,0,1
selfish,,0,,0,0,0,4,p,6,0,,,,,,5,1,1,6,1,,,,0,1
selfish,,0,0,,0,0,4,r,,,9,-2,0,6,0,,,,,,5,1,1,0,1
selfish,,0,,0,0,0,4,p,6,0,,,,,,9,-2,0,6,0,,,,0,1
selfish,,0,0,,0,0,4,r,,,7,-2,0,6,0,,,,,,9,-2,0,0,1
selfish,,6,,6,0,0,4,p,6,1,,,,,,7,-2,0,6,0,,,,0,1
selfish,,0,0,,0,0,4,r,,,8,-2,0,6,1,,,,,,7,-2,0,0,1
selfish,,6,,6,0,0,4,p,6,1,,,,,,8,-2,0,6,1,,,,0,1
selfish,,0,0,,0,0,4,r,,,8,-2,0,6,1,,,,,,8,-2,0,0,1
selfish,,0,,0,0,0,4,p,6,0,,,,,,8,-2,0,6,1,,,,0,1
selfish,,0,0,,0,0,4,r,,,8,-2,0,6,0,,,,,,8,-2,0,0,1
selfish,,6,,6,0,0,4,p,6,1,,,,,,8,-2,0,6,0,,,,0,1
selfish,,,,,0,0,4,p,,,,,,6,1,,,,,,8,-2,0,0,1
anti_reciprocity,,6,,6,0,0,5,p,6,1,,,,,,,,,,,,,,0,1
anti_reciprocity,,0,0,,0,0,5,r,,,8,-2,0,6,1,,,,,,,,,0,1
anti_reciprocity,,6,,6,0,0,5,p,6,1,,,,,,8,-2,0,6,1,,,,0,1
anti_reciprocity,,2,2,,0,0,5,r,,,8,1,1,6,1,,,,,,8,-2,0,0,1
anti_reciprocity,,,,,0,0,5,p,,0,,,,,,8,1,1,6,1,,,,0,1
anti_reciprocity,,3,3,,0,0,5,r,,,7,1,1,,0,,,,,,8,1,1,0,1
anti_reciprocity,,9,,9,0,0,5,p,9,1,,,,,,7,1,1,,0,,,,0,1
anti_reciprocity,,5,5,,0,0,5,r,,,5,2,1,9,1,,,,,,7,1,1,0,1
anti_reciprocity,,9,,9,0,0,5,p,9,1,,,,,,5,2,1,9,1,,,,0,1
anti_reciprocity,,5,5,,0,0,5,r,,,5,2,1,9,1,,,,,,5,2,1,0,1
anti_reciprocity,,9,,9,0,0,5,p,9,1,,,,,,5,2,1,9,1,,,,0,1
anti_reciprocity,,5,5,,0,0,5,r,,,5,2,1,9,1,,,,,,5,2,1,0,1
anti_reciprocity,,9,,9,0,0,5,p,9,1,,,,,,5,2,1,9,1,,,,0,1
anti_reciprocity,10,,,,0,0,5,p,,,,,,9,1,,,,,,5,2,1,0,1
generous,,,,,0,0,6,p,,0,,,,,,,,,,,,,,0,1
generous,,5,5,,0,0,6,r,,,5,2,1,,0,,,,,,,,,0,1
generous,,9,,9,0,0,6,p,9,1,,,,,,5,2,1,,0,,,,0,1
generous,,5,5,,0,0,6,r,,,5,2,1,9,1,,,,,,5,2,1,0,1
generous,,9,,9,0,0,6,p,9,1,,,,,,5,2,1,9,1,,,,0,1
generous,,4,4,,0,0,6,r,,,6,2,1,9,1,,,,,,5,2,1,0,1
generous,,8,,8,0,0,6,p,8,1,,,,,,6,2,1,9,1,,,,0,1
generous,,5,5,,0,0,6,r,,,5,2,1,8,1,,,,,,6,2,1,0,1
generous,,8,,8,0,0,6,p,8,1,,,,,,5,2,1,8,1,,,,0,1
generous,,4,4,,0,0,6,r,,,6,2,1,8,1,,,,,,5,2,1,0,1
generous,,8,,8,0,0,6,p,8,1,,,,,,6,2,1,8,1,,,,0,1
generous,,5,5,,0,0,6,r,,,5,2,1,8,1,,,,,,6,2,1,0,1
generous,,9,,9,0,0,6,p,9,1,,,,,,5,2,1,8,1,,,,0,1
generous,,,,,0,0,6,p,,,,,,9,1,,,,,,5,2,1,0,1
reciprocity,,0,,0,0,0,7,p,8,0,,,,,,,,,,,,,,0,1
reciprocity,,2,2,,0,0,7,r,,,8,1,1,8,0,,,,,,,,,0,1
reciprocity,,8,,8,0,0,7,p,8,1,,,,,,8,1,1,8,0,,,,0,1
reciprocity,,2,2,,0,0,7,r,,,8,1,1,8,1,,,,,,8,1,1,0,1
reciprocity,,8,,8,0,0,7,p,8,1,,,,,,8,1,1,8,1,,,,0,1
reciprocity,,2,2,,0,0,7,r,,,8,1,1,8,1,,,,,,8,1,1,0,1
reciprocity,,8,,8,0,0,7,p,8,1,,,,,,8,1,1,8,1,,,,0,1
reciprocity,,2,2,,0,0,7,r,,,8,1,1,8,1,,,,,,8,1,1,0,1
reciprocity,,8,,8,0,0,7,p,8,1,,,,,,8,1,1,8,1,,,,0,1
reciprocity,,2,2,,0,0,7,r,,,8,1,1,8,1,,,,,,8,1,1,0,1
reciprocity,,0,,0,0,0,7,p,9,0,,,,,,8,1,1,8,1,,,,0,1
reciprocity,,1,1,,0,0,7,r,,,9,1,1,9,0,,,,,,8,1,1,0,1
reciprocity,,9,,9,0,0,7,p,9,1,,,,,,9,1,1,9,0,,,,0,1
reciprocity,10,,,,0,0,7,p,,,,,,9,1,,,,,,9,1,1,0,1
control,,0,,0,0,0,8,p,8,0,,,,,,,,,,,,,,0,1
control,,4,4,,0,0,8,r,,,6,1,1,8,0,,,,,,,,,0,1
control,,0,,0,0,0,8,p,8,0,,,,,,6,1,1,8,0,,,,0,1
control,,3,3,,0,0,8,r,,,7,1,1,8,0,,,,,,6,1,1,0,1
control,,0,,0,0,0,8,p,6,0,,,,,,7,1,1,8,0,,,,0,1
control,,4,4,,0,0,8,r,,,6,1,1,6,0,,,,,,7,1,1,0,1
control,,6,,6,0,0,8,p,6,1,,,,,,6,1,1,6,0,,,,0,1
control,,5,5,,0,0,8,r,,,5,1,1,6,1,,,,,,6,1,1,0,1
control,,0,,0,0,0,8,p,8,0,,,,,,5,1,1,6,1,,,,0,1
control,,4,4,,0,0,8,r,,,6,1,1,8,0,,,,,,5,1,1,0,1
control,,6,,6,0,0,8,p,6,1,,,,,,6,1,1,8,0,,,,0,1
control,,4,4,,0,0,8,r,,,6,1,1,6,1,,,,,,6,1,1,0,1
control,,6,,6,0,0,8,p,6,1,,,,,,6,1,1,6,1,,,,0,1
control,10,,,,0,0,8,p,,,,,,6,1,,,,,,6,1,1,0,1
selfish,,,,,0,0,9,p,,0,,,,,,,,,,,,,,0,1
selfish,,2,2,,0,0,9,r,,,8,1,1,,0,,,,,,,,,0,1
selfish,,0,,0,0,0,9,p,8,0,,,,,,8,1,1,,0,,,,0,1
selfish,,4,4,,0,0,9,r,,,6,1,1,8,0,,,,,,8,1,1,0,1
selfish,,0,,0,0,0,9,p,8,0,,,,,,6,1,1,8,0,,,,0,1
selfish,,2,2,,0,0,9,r,,,8,1,1,8,0,,,,,,6,1,1,0,1
selfish,,9,,9,0,0,9,p,9,1,,,,,,8,1,1,8,0,,,,0,1
selfish,,,,,0,0,9,r,,,9,,,9,1,,,,,,8,1,1,0,1
selfish,,5,,5,0,0,9,p,5,1,,,,,,9,,,9,1,,,,0,1
selfish,,5,5,,0,0,9,r,,,5,2,1,5,1,,,,,,9,,,0,1
selfish,,0,,0,0,0,9,p,8,0,,,,,,5,2,1,5,1,,,,0,1
selfish,,0,0,,0,0,9,r,,,9,-1,0,8,0,,,,,,5,2,1,0,1
selfish,,,,,0,0,9,p,,0,,,,,,9,-1,0,8,0,,,,0,1
selfish,0,,,,0,0,9,p,,,,,,,0,,,,,,9,-1,0,0,1
control,,5,5,,1,0,0,r,,,5,1,1,,,,,,,,,,,1,4
control,,,,,1,0,0,p,,0,,,,,,5,1,1,,,,,,1,4
control,,,,,1,0,0,r,,,6,0,,,0,,,,,,5,1,1,1,4
control,,6,,6,1,0,0,p,6,1,,,,,,6,0,,,0,,,,1,4
control,,4,4,,1,0,0,r,,,6,1,1,6,1,,,,,,6,0,,1,4
control,,5,5,,1,0,0,r,,,5,2,1,,,6,1,1,6,1,,,,1,4
control,,5,,5,1,0,0,p,5,1,,,,,,5,2,1,,,6,1,1,1,4
control,,0,0,,1,0,0,r,,,5,-2,0,5,1,,,,,,5,2,1,1,4
control,,0,,0,1,0,0,p,7,0,,,,,,5,-2,0,5,1,,,,1,4
control,,3,3,,1,0,0,r,,,7,1,1,7,0,,,,,,5,-2,0,1,4
control,,5,,5,1,0,0,p,5,1,,,,,,7,1,1,7,0,,,,1,4
control,,3,3,,1,0,0,r,,,7,1,1,5,1,,,,,,7,1,1,1,4
control,,6,,6,1,0,0,p,6,1,,,,,,7,1,1,5,1,,,,1,4
control,,4,4,,1,0,0,r,,,6,1,1,6,1,,,,,,7,1,1,1,4
control,,7,,7,1,0,0,p,7,1,,,,,,6,1,1,6,1,,,,1,4
control,,5,5,,1,0,0,r,,,5,1,1,7,1,,,,,,6,1,1,1,4
control,,0,,0,1,0,0,p,8,0,,,,,,5,1,1,7,1,,,,1,4
control,,0,0,,1,0,0,r,,,7,-1,0,8,0,,,,,,5,1,1,1,4
control,,0,,0,1,0,0,p,6,0,,,,,,7,-1,0,8,0,,,,1,4
control,,5,,5,1,0,0,p,5,1,,,,6,0,,,,,,7,-1,0,1,4
control,,2,2,,1,0,0,r,,,8,1,1,5,1,,,,6,0,,,,1,4
control,,6,,6,1,0,0,p,6,1,,,,,,8,1,1,5,1,,,,1,4
control,,,,,1,0,0,r,,,7,0,,6,1,,,,,,8,1,1,1,4
control,,6,,6,1,0,0,p,6,1,,,,,,7,0,,6,1,,,,1,4
control,,4,4,,1,0,0,r,,,6,1,1,6,1,,,,,,7,0,,1,4
control,,0,,0,1,0,0,p,7,0,,,,,,6,1,1,6,1,,,,1,4
control,,0,0,,1,0,0,r,,,7,-1,0,7,0,,,,,,6,1,1,1,4
control,,6,,6,1,0,0,p,6,1,,,,,,7,-1,0,7,0,,,,1,4
control,,,,,1,0,0,p,,,,,,6,1,,,,,,7,-1,0,1,4
generous,,5,5,,1,0,1,r,,,5,1,1,,,,,,,,,,,1,4
generous,,6,,6,1,0,1,p,6,1,,,,,,5,1,1,,,,,,1,4
generous,,5,5,,1,0,1,r,,,5,1,1,6,1,,,,,,5,1,1,1,4
generous,,6,,6,1,0,1,p,6,1,,,,,,5,1,1,6,1,,,,1,4
generous,,5,5,,1,0,1,r,,,5,1,1,6,1,,,,,,5,1,1,1,4
generous,,5,5,,1,0,1,r,,,5,1,1,,,5,1,1,6,1,,,,1,4
generous,,7,,7,1,0,1,p,7,1,,,,,,5,1,1,,,5,1,1,1,4
generous,,4,4,,1,0,1,r,,,6,1,1,7,1,,,,,,5,1,1,1,4
generous,,,,,1,0,1,p,,0,,,,,,6,1,1,7,1,,,,1,4
generous,,4,4,,1,0,1,r,,,6,1,1,,0,,,,,,6,1,1,1,4
generous,,6,,6,1,0,1,p,6,1,,,,,,6,1,1,,0,,,,1,4
generous,,4,4,,1,0,1,r,,,6,1,1,6,1,,,,,,6,1,1,1,4
generous,,8,,8,1,0,1,p,8,1,,,,,,6,1,1,6,1,,,,1,4
generous,,5,5,,1,0,1,r,,,5,2,1,8,1,,,,,,6,1,1,1,4
generous,,9,,9,1,0,1,p,9,1,,,,,,5,2,1,8,1,,,,1,4
generous,,5,5,,1,0,1,r,,,5,1,1,9,1,,,,,,5,2,1,1,4
generous,,6,,6,1,0,1,p,6,1,,,,,,5,1,1,9,1,,,,1,4
generous,,5,5,,1,0,1,r,,,5,1,1,6,1,,,,,,5,1,1,1,4
generous,,7,,7,1,0,1,p,7,1,,,,,,5,1,1,6,1,,,,1,4
generous,,,,,1,0,1,p,,0,,,,7,1,,,,,,5,1,1,1,4
generous,,5,5,,1,0,1,r,,,5,1,1,,0,,,,7,1,,,,1,4
generous,,,,,1,0,1,p,,0,,,,,,5,1,1,,0,,,,1,4
generous,,5,5,,1,0,1,r,,,5,1,1,,0,,,,,,5,1,1,1,4
generous,,5,,5,1,0,1,p,5,1,,,,,,5,1,1,,0,,,,1,4
generous,,4,4,,1,0,1,r,,,6,2,1,5,1,,,,,,5,1,1,1,4
generous,,7,,7,1,0,1,p,7,1,,,,,,6,2,1,5,1,,,,1,4
generous,,5,5,,1,0,1,r,,,5,2,1,7,1,,,,,,6,2,1,1,4
generous,,7,,7,1,0,1,p,7,1,,,,,,5,2,1,7,1,,,,1,4
generous,5,,,,1,0,1,p,,,,,,7,1,,,,,,5,2,1,1,4
reciprocity,,3,3,,1,0,2,r,,,7,2,1,,,,,,,,,,,1,4
reciprocity,,,,,1,0,2,p,,0,,,,,,7,2,1,,,,,,1,4
reciprocity,,5,5,,1,0,2,r,,,5,1,1,,0,,,,,,7,2,1,1,4
reciprocity,,,,,1,0,2,p,,0,,,,,,5,1,1,,0,,,,1,4
reciprocity,,0,0,,1,0,2,r,,,8,-1,0,,0,,,,,,5,1,1,1,4
reciprocity,,0,0,,1,0,2,r,,,7,-1,0,,,8,-1,0,,0,,,,1,4
reciprocity,,0,,0,1,0,2,p,7,0,,,,,,7,-1,0,,,8,-1,0,1,4
reciprocity,,3,3,,1,0,2,r,,,7,1,1,7,0,,,,,,7,-1,0,1,4
reciprocity,,7,,7,1,0,2,p,7,1,,,,,,7,1,1,7,0,,,,1,4
reciprocity,,3,3,,1,0,2,r,,,7,1,1,7,1,,,,,,7,1,1,1,4
reciprocity,,5,,5,1,0,2,p,5,1,,,,,,7,1,1,7,1,,,,1,4
reciprocity,,5,5,,1,0,2,r,,,5,2,1,5,1,,,,,,7,1,1,1,4
reciprocity,,,,,1,0,2,p,,0,,,,,,5,2,1,5,1,,,,1,4
reciprocity,,4,4,,1,0,2,r,,,6,1,1,,0,,,,,,5,2,1,1,4
reciprocity,,0,,0,1,0,2,p,8,0,,,,,,6,1,1,,0,,,,1,4
reciprocity,,2,2,,1,0,2,r,,,8,1,1,8,0,,,,,,6,1,1,1,4
reciprocity,,6,,6,1,0,2,p,6,1,,,,,,8,1,1,8,0,,,,1,4
reciprocity,,0,0,,1,0,2,r,,,6,-2,0,6,1,,,,,,8,1,1,1,4
reciprocity,,0,,0,1,0,2,p,7,0,,,,,,6,-2,0,6,1,,,,1,4
reciprocity,,0,,0,1,0,2,p,9,0,,,,7,0,,,,,,6,-2,0,1,4
reciprocity,,1,1,,1,0,2,r,,,9,1,1,9,0,,,,7,0,,,,1,4
reciprocity,,0,,0,1,0,2,p,7,0,,,,,,9,1,1,9,0,,,,1,4
reciprocity,,3,3,,1,0,2,r,,,7,1,1,7,0,,,,,,9,1,1,1,4
reciprocity,,0,,0,1,0,2,p,7,0,,,,,,7,1,1,7,0,,,,1,4
reciprocity,,3,3,,1,0,2,r,,,7,1,1,7,0,,,,,,7,1,1,1,4
reciprocity,,0,,0,1,0,2,p,7,0,,,,,,7,1,1,7,0,,,,1,4
reciprocity,,,,,1,0,2,r,,,7,0,,7,0,,,,,,7,1,1,1,4
reciprocity,,0,,0,1,0,2,p,7,0,,,,,,7,0,,7,0,,,,1,4
reciprocity,10,,,,1,0,2,p,,,,,,7,0,,,,,,7,0,,1,4
anti_reciprocity,,0,0,,1,0,3,r,,,6,-1,0,,,,,,,,,,,1,4
anti_reciprocity,,8,,8,1,0,3,p,8,1,,,,,,6,-1,0,,,,,,1,4
anti_reciprocity,,4,4,,1,0,3,r,,,6,1,1,8,1,,,,,,6,-1,0,1,4
anti_reciprocity,,,,,1,0,3,p,,0,,,,,,6,1,1,8,1,,,,1,4
anti_reciprocity,,,,,1,0,3,r,,,9,0,,,0,,,,,,6,1,1,1,4
anti_reciprocity,,3,3,,1,0,3,r,,,7,1,1,,,9,0,,,0,,,,1,4
anti_reciprocity,,0,,0,1,0,3,p,6,0,,,,,,7,1,1,,,9,0,,1,4
anti_reciprocity,,0,0,,1,0,3,r,,,8,-1,0,6,0,,,,,,7,1,1,1,4
anti_reciprocity,,0,,0,1,0,3,p,6,0,,,,,,8,-1,0,6,0,,,,1,4
anti_reciprocity,,2,2,,1,0,3,r,,,8,1,1,6,0,,,,,,8,-1,0,1,4
anti_reciprocity,,0,,0,1,0,3,p,8,0,,,,,,8,1,1,6,0,,,,1,4
anti_reciprocity,,4,4,,1,0,3,r,,,6,1,1,8,0,,,,,,8,1,1,1,4
anti_reciprocity,,,,,1,0,3,p,,0,,,,,,6,1,1,8,0,,,,1,4
anti_reciprocity,,3,3,,1,0,3,r,,,7,1,1,,0,,,,,,6,1,1,1,4
anti_reciprocity,,0,,0,1,0,3,p,8,0,,,,,,7,1,1,,0,,,,1,4
anti_reciprocity,,4,4,,1,0,3,r,,,6,1,1,8,0,,,,,,7,1,1,1,4
anti_reciprocity,,0,,0,1,0,3,p,5,0,,,,,,6,1,1,8,0,,,,1,4
anti_reciprocity,,1,1,,1,0,3,r,,,9,1,1,5,0,,,,,,6,1,1,1,4
anti_reciprocity,,0,,0,1,0,3,p,5,0,,,,,,9,1,1,5,0,,,,1,4
anti_reciprocity,,0,,0,1,0,3,p,7,0,,,,5,0,,,,,,9,1,1,1,4
anti_reciprocity,,0,0,,1,0,3,r,,,6,-1,0,7,0,,,,5,0,,,,1,4
anti_reciprocity,,6,,6,1,0,3,p,6,1,,,,,,6,-1,0,7,0,,,,1,4
anti_reciprocity,,2,2,,1,0,3,r,,,8,1,1,6,1,,,,,,6,-1,0,1,4
anti_reciprocity,,8,,8,1,0,3,p,8,1,,,,,,8,1,1,6,1,,,,1,4
anti_reciprocity,,4,4,,1,0,3,r,,,6,1,1,8,1,,,,,,8,1,1,1,4
anti_reciprocity,,8,,8,1,0,3,p,8,1,,,,,,6,1,1,8,1,,,,1,4
anti_reciprocity,,4,4,,1,0,3,r,,,6,1,1,8,1,,,,,,6,1,1,1,4
anti_reciprocity,,9,,9,1,0,3,p,9,1,,,,,,6,1,1,8,1,,,,1,4
anti_reciprocity,5,,,,1,0,3,p,,,,,,9,1,,,,,,6,1,1,1,4
selfish,,0,0,,1,0,4,r,,,8,-1,0,,,,,,,,,,,1,4
selfish,,6,,6,1,0,4,p,6,1,,,,,,8,-1,0,,,,,,1,4
selfish,,,,,1,0,4,r,,,7,,,6,1,,,,,,8,-1,0,1,4
selfish,,,,,1,0,4,p,,0,,,,,,7,,,6,1,,,,1,4
selfish,,3,3,,1,0,4,r,,,7,1,1,,0,,,,,,7,,,1,4
selfish,,4,4,,1,0,4,r,,,6,1,1,,,7,1,1,,0,,,,1,4
selfish,,0,,0,1,0,4,p,8,0,,,,,,6,1,1,,,7,1,1,1,4
selfish,,0,0,,1,0,4,r,,,8,-1,0,8,0,,,,,,6,1,1,1,4
selfish,,6,,6,1,0,4,p,6,1,,,,,,8,-1,0,8,0,,,,1,4
selfish,,0,0,,1,0,4,r,,,9,-1,0,6,1,,,,,,8,-1,0,1,4
selfish,,0,,0,1,0,4,p,6,0,,,,,,9,-1,0,6,1,,,,1,4
selfish,,3,3,,1,0,4,r,,,7,1,1,6,0,,,,,,9,-1,0,1,4
selfish,,5,,5,1,0,4,p,5,1,,,,,,7,1,1,6,0,,,,1,4
selfish,,0,0,,1,0,4,r,,,9,-1,0,5,1,,,,,,7,1,1,1,4
selfish,,,,,1,0,4,p,,0,,,,,,9,-1,0,5,1,,,,1,4
selfish,,3,3,,1,0,4,r,,,7,1,1,,0,,,,,,9,-1,0,1,4
selfish,,5,,5,1,0,4,p,5,1,,,,,,7,1,1,,0,,,,1,4
selfish,,0,0,,1,0,4,r,,,6,-1,0,5,1,,,,,,7,1,1,1,4
selfish,,5,,5,1,0,4,p,5,1,,,,,,6,-1,0,5,1,,,,1,4
selfish,,6,,6,1,0,4,p,6,1,,,,5,1,,,,,,6,-1,0,1,4
selfish,,0,0,,1,0,4,r,,,5,-1,0,6,1,,,,5,1,,,,1,4
selfish,,0,,0,1,0,4,p,8,0,,,,,,5,-1,0,6,1,,,,1,4
selfish,,0,0,,1,0,4,r,,,6,-1,0,8,0,,,,,,5,-1,0,1,4
selfish,,,,,1,0,4,p,,0,,,,,,6,-1,0,8,0,,,,1,4
selfish,,2,2,,1,0,4,r,,,8,1,1,,0,,,,,,6,-1,0,1,4
selfish,,9,,9,1,0,4,p,9,1,,,,,,8,1,1,,0,,,,1,4
selfish,,4,4,,1,0,4,r,,,6,1,1,9,1,,,,,,8,1,1,1,4
selfish,,0,,0,1,0,4,p,8,0,,,,,,6,1,1,9,1,,,,1,4
selfish,15,,,,1,0,4,p,,,,,,8,0,,,,,,6,1,1,1,4
control,,6,,6,2,0,0,p,6,1,,,,,,,,,,,,,,0,2
control,,4,4,,2,0,0,r,,,6,1,1,6,1,,,,,,,,,0,2
control,,6,,6,2,0,0,p,6,1,,,,,,6,1,1,6,1,,,,0,2
control,,4,4,,2,0,0,r,,,6,1,1,6,1,,,,,,6,1,1,0,2
control,,6,,6,2,0,0,p,6,1,,,,,,6,1,1,6,1,,,,0,2
control,,,,,2,0,0,p,,0,,,,6,1,,,,,,6,1,1,0,2
control,,4,4,,2,0,0,r,,,6,1,1,,0,,,,6,1,,,,0,2
control,,6,,6,2,0,0,p,6,1,,,,,,6,1,1,,0,,,,0,2
control,,4,4,,2,0,0,r,,,6,1,1,6,1,,,,,,6,1,1,0,2
control,,0,,0,2,0,0,p,6,0,,,,,,6,1,1,6,1,,,,0,2
control,,4,4,,2,0,0,r,,,6,1,1,6,0,,,,,,6,1,1,0,2
control,,8,,8,2,0,0,p,8,1,,,,,,6,1,1,6,0,,,,0,2
control,,4,4,,2,0,0,r,,,6,1,1,8,1,,,,,,6,1,1,0,2
control,5,,,,2,0,0,p,,,,,,,,6,1,1,8,1,,,,0,2
anti_reciprocity,,8,,8,2,0,1,p,8,1,,,,,,,,,,,,,,0,2
anti_reciprocity,,4,4,,2,0,1,r,,,6,1,1,8,1,,,,,,,,,0,2
anti_reciprocity,,0,,0,2,0,1,p,6,0,,,,,,6,1,1,8,1,,,,0,2
anti_reciprocity,,0,0,,2,0,1,r,,,8,-1,0,6,0,,,,,,6,1,1,0,2
anti_reciprocity,,0,,0,2,0,1,p,6,0,,,,,,8,-1,0,6,0,,,,0,2
anti_reciprocity,,0,0,,2,0,1,r,,,8,-1,0,6,0,,,,,,8,-1,0,0,2
anti_reciprocity,,0,,0,2,0,1,p,6,0,,,,,,8,-1,0,6,0,,,,0,2
anti_reciprocity,,0,0,,2,0,1,r,,,8,-1,0,6,0,,,,,,8,-1,0,0,2
anti_reciprocity,,,,,2,0,1,p,,0,,,,,,8,-1,0,6,0,,,,0,2
anti_reciprocity,,4,4,,2,0,1,r,,,6,1,1,,0,,,,,,8,-1,0,0,2
anti_reciprocity,,7,,7,2,0,1,p,7,1,,,,,,6,1,1,,0,,,,0,2
